trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.892, 'e': 1.0}",20,0,-78.94900186638657,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.884, 'e': 0.9146626227554289}",20,0,-150.864925623956,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.876, 'e': 0.8379473572366113}",20,0,-61.282308186950786,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.868, 'e': 0.7688956610664855}",20,8,-40.15975922999297,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
5,False,"{'a': 0.86, 'e': 0.7066639813272622}",25,0,-104.83011164087821,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.852, 'e': 0.6505090947233165}",20,11,10.16896138138081,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.844, 'e': 0.5997754163016171}",25,0,-199.30960033636723,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.836, 'e': 0.5538840002441574}",20,0,-71.3564907495547,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.828, 'e': 0.5123229966574786}",35,0,-85.0371720480539,"{0: 30, 1: 0, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.82, 'e': 0.4746393625739775}",20,0,-15.139831671228956,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.8119999999999999, 'e': 0.4404316545059993}",20,0,-22.5248414962385,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.8039999999999999, 'e': 0.4093437546600572}",35,5,-103.10211863965016,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",1
13,False,"{'a': 0.7959999999999999, 'e': 0.3810594039994571}",25,13,-18.107200889331924,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.7879999999999999, 'e': 0.3552974333061378}",25,0,-32.63593462037087,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.7799999999999999, 'e': 0.3318075987137278}",25,0,-24.375718981750268,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.7719999999999999, 'e': 0.31036694126548503}",20,0,-40.1002213340724,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.7639999999999999, 'e': 0.2907766012316855}",25,9,-55.25664334621593,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
18,False,"{'a': 0.7559999999999999, 'e': 0.2728590274870572}",30,17,9.292484035485959,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.7479999999999999, 'e': 0.2564555304415444}",20,0,-178.09481913705352,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
20,False,"{'a': 0.7399999999999999, 'e': 0.24142413404125945}",20,12,7.214375397977771,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.7319999999999999, 'e': 0.2276376883838128}",20,6,-25.57725520999665,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.7239999999999999, 'e': 0.21498220966978945}",20,11,2.626337756610416,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.7159999999999999, 'e': 0.20335541866418183}",25,7,9.017785793810445,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.7079999999999999, 'e': 0.19266545267356092}",20,10,1.2997697750071961,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.6999999999999998, 'e': 0.18282972934629668}",20,0,-18.740214310215627,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
26,False,"{'a': 0.6919999999999998, 'e': 0.1737739434504452}",30,0,-10.320515366341208,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
27,False,"{'a': 0.6839999999999998, 'e': 0.16543118024191641}",25,7,-44.32210425549801,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
28,False,"{'a': 0.6759999999999998, 'e': 0.1577411311595348}",20,0,26.65553072193036,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.6679999999999998, 'e': 0.15064939942078504}",25,8,23.920520657355933,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.6599999999999998, 'e': 0.14410688468269678}",20,8,21.268751321491422,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.6519999999999998, 'e': 0.1380692373108929}",25,0,11.782345261278946,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
32,False,"{'a': 0.6439999999999998, 'e': 0.1324963739957672}",20,10,-26.864416820244198,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.6359999999999998, 'e': 0.12735204749330142}",20,0,11.47367651943539,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.6279999999999998, 'e': 0.12260346417079195}",20,8,16.745946648188564,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.6199999999999998, 'e': 0.11822094382329433}",20,13,9.5358090490217,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.6119999999999998, 'e': 0.1141776169108366}",20,0,-11.496480308204806,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
37,False,"{'a': 0.6039999999999998, 'e': 0.11044915496309611}",20,0,27.926350382928938,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5959999999999998, 'e': 0.10701353041907045}",25,16,8.97745170170718,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5879999999999997, 'e': 0.10385080262444436}",20,3,20.660207124561214,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5799999999999997, 'e': 0.100942927107628}",20,1,-14.335667304572315,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.5719999999999997, 'e': 0.09827358560436164}",30,9,-14.719041725689772,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.5639999999999997, 'e': 0.09582803460688893}",25,13,21.077049370337654,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5559999999999997, 'e': 0.0935929704826457}",25,14,14.011732459535638,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5479999999999997, 'e': 0.0915564094440843}",20,13,13.625765248780677,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5399999999999997, 'e': 0.08970758085991411}",20,16,6.438689142990278,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5319999999999997, 'e': 0.08803683258237266}",30,0,-20.819333754304438,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
47,False,"{'a': 0.5239999999999997, 'e': 0.08653554712836853}",25,13,7.216783384843052,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5159999999999997, 'e': 0.0851960676972613}",30,22,8.512238442660287,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5079999999999997, 'e': 0.08401163313712193}",20,7,21.627998521257897,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.49999999999999967, 'e': 0.08297632108669864}",20,0,13.277432003926497,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.49999999999999967, 'e': 0.08208499862389894}",20,0,-10.512091189668489,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
52,False,"{'a': 0.49999999999999967, 'e': 0.07808166600115331}",25,10,20.41488445176944,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.49999999999999967, 'e': 0.074273578214334}",20,12,14.023200407442856,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.49999999999999967, 'e': 0.07065121306042972}",20,10,15.264191452012717,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.49999999999999967, 'e': 0.06720551273974987}",30,13,27.152748757918356,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.49999999999999967, 'e': 0.06392786120670768}",25,9,25.87394887537062,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.49999999999999967, 'e': 0.060810062625218084}",25,14,19.405819385210595,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.49999999999999967, 'e': 0.05784432087483856}",25,6,33.70843830704301,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.49999999999999967, 'e': 0.055023220056407335}",20,11,2.965317525286639,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.49999999999999967, 'e': 0.0523397059484325}",20,11,14.117740095235787,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.49999999999999967, 'e': 0.049787068367864055}",35,14,34.01790858705972,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.49999999999999967, 'e': 0.04735892439114101}",25,0,-0.06359802701023076,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
63,False,"{'a': 0.49999999999999967, 'e': 0.045049202393557905}",20,12,-23.983141383955143,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.49999999999999967, 'e': 0.04285212686704028}",20,10,16.920968217714623,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.49999999999999967, 'e': 0.0407622039783663}",25,13,18.43651525819506,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.49999999999999967, 'e': 0.0387742078317221}",20,13,-27.905680866945698,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.49999999999999967, 'e': 0.03688316740124008}",20,9,20.10989219677153,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.49999999999999967, 'e': 0.0350843541008451}",25,7,37.91484528199292,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.49999999999999967, 'e': 0.033373269960326156}",30,8,24.70982568037121,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.49999999999999967, 'e': 0.03174563637806801}",25,0,24.852365512480464,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.49999999999999967, 'e': 0.030197383422318567}",20,14,8.429773623968178,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.49999999999999967, 'e': 0.028724639654239485}",25,6,19.176174228154075,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.49999999999999967, 'e': 0.027323722447292618}",30,21,16.788378300857655,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.49999999999999967, 'e': 0.025991128778755403}",25,10,21.529854257480693,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.49999999999999967, 'e': 0.02472352647033944}",20,0,9.783138680356107,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.49999999999999967, 'e': 0.02351774585600917}",30,2,-0.8064651649290768,"{0: 26, 1: 0, 2: 0, 3: 2, 4: 0}",1
77,False,"{'a': 0.49999999999999967, 'e': 0.02237077185616566}",25,0,-4.980042651551981,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
78,False,"{'a': 0.49999999999999967, 'e': 0.021279736438377234}",30,16,27.647842117147075,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.49999999999999967, 'e': 0.020241911445804443}",30,17,3.1401287686330113,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
80,False,"{'a': 0.49999999999999967, 'e': 0.01925470177538698}",30,18,18.440919420329823,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.49999999999999967, 'e': 0.01831563888873423}",25,12,17.96668883612782,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.49999999999999967, 'e': 0.01742237463949356}",20,5,23.063820996490605,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.49999999999999967, 'e': 0.016572675401761296}",20,13,14.757959773805112,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.49999999999999967, 'e': 0.015764416484854542}",25,1,33.77133488822773,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.49999999999999967, 'e': 0.014995576820477743}",30,10,19.37537525067685,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.49999999999999967, 'e': 0.014264233908999294}",20,9,18.38086343964925,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.49999999999999967, 'e': 0.01356855901220097}",20,16,9.456458113399625,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.49999999999999967, 'e': 0.012906812580479907}",20,11,14.299009466181866,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.49999999999999967, 'e': 0.012277339903068481}",30,16,23.92646244658755,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.49999999999999967, 'e': 0.011678566970395474}",20,0,28.81036779444973,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.49999999999999967, 'e': 0.011108996538242336}",25,10,27.09291493947124,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.49999999999999967, 'e': 0.010567204383852684}",20,14,10.630899155014474,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.49999999999999967, 'e': 0.010051835744633612}",30,19,10.59354122793426,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.49999999999999967, 'e': 0.00956160193054354}",35,17,29.79175181455421,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.49999999999999967, 'e': 0.00909527710169584}",30,13,34.572586077349264,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.49999999999999967, 'e': 0.008651695203120657}",20,16,5.795690154748504,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.49999999999999967, 'e': 0.008229747049020053}",30,13,29.137226935591126,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.49999999999999967, 'e': 0.007828377549225801}",25,15,16.927652959928178,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.49999999999999967, 'e': 0.007446583070924364}",30,20,4.75403618133242,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.49999999999999967, 'e': 0.007083408929052144}",25,15,18.318298949087488,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.49999999999999967, 'e': 0.006737946999085491}",20,8,19.450924188434488,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.49999999999999967, 'e': 0.006409333446256406}",20,9,20.666417631406325,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.49999999999999967, 'e': 0.00609674656551566}",25,13,20.850659523877653,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.49999999999999967, 'e': 0.005799404726842162}",20,2,28.83629100170783,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.49999999999999967, 'e': 0.005516564420760791}",20,0,35.34096326203522,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.49999999999999967, 'e': 0.005247518399181403}",20,16,7.994280092819433,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.49999999999999967, 'e': 0.004991593906910235}",25,12,23.415611274715875,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.49999999999999967, 'e': 0.004748150999411494}",20,12,15.149509629638574,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.49999999999999967, 'e': 0.004516580942612682}",25,13,23.773768450967726,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.49999999999999967, 'e': 0.004296304690752355}",25,16,19.759839242252667,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.49999999999999967, 'e': 0.004086771438464081}",25,14,16.69342265770543,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.49999999999999967, 'e': 0.003887457243476144}",20,9,18.191580938178706,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.49999999999999967, 'e': 0.0036978637164829455}",25,16,19.640640789152613,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.49999999999999967, 'e': 0.003517516774912141}",25,1,30.44321372896872,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.49999999999999967, 'e': 0.003345965457471284}",25,16,17.713075700321,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.49999999999999967, 'e': 0.003182780796509678}",25,18,14.484485017087163,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.49999999999999967, 'e': 0.003027554745375826}",20,13,14.015839882003181,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.49999999999999967, 'e': 0.0028798991580882534}",25,14,23.785385728945325,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.49999999999999967, 'e': 0.0027394448187683805}",20,2,27.386162452740948,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.49999999999999967, 'e': 0.0026058405184085096}",20,8,21.281066603616093,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.49999999999999967, 'e': 0.0024787521766663693}",20,9,19.415022338427974,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.49999999999999967, 'e': 0.0023578620064902433}",25,17,-9.628368772295557,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
123,False,"{'a': 0.49999999999999967, 'e': 0.002242867719485811}",25,18,12.287562374686724,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.49999999999999967, 'e': 0.0021334817700377176}",25,8,30.51543544322924,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
