trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.66368993295586,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.57729088458296,"{0: 17, 1: 2, 2: 10, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.89231143645816,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.88930270229531,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,11,-60.39690233487743,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,6,-10.753069166063774,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.51004750872761,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.01840779334674,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.26132712712045,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.07359611635124,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.29074067141534,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.84049283690175,"{0: 8, 1: 8, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.62733573356492,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-134.42654731173957,"{0: 22, 1: 2, 2: 10, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.9984321229275,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.5721541206697,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.13600347612821,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-70.94250339988228,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.11828554679472,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-236.1198312656573,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-188.834932630955,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-148.28192484402814,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-144.41696016813785,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-241.6524389154623,"{0: 18, 1: 6, 2: 7, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.15105497670626,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.2508751427154,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.57881217754348,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.33108993988972,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.9288104317329,"{0: 9, 1: 10, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-116.44047026104673,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
